q,type,pm,time_x,collision_type,idm,mm,id1,m1,id2,m2,r_x,typem,type1,type2,smaller_mass,larger_mass,mass_ratio,time_y,r_y,binary,ID,zams_m,m_progenitor,bh_mass,bh_spin,birth_kick,bbh_merger,model
1,Giant,50,7.498067156399999,single-single,1713047,74.7689,1713045,47.4477,1867760,27.3901,0.0365101,4,4,4,27.3901,47.4477,0.5772692880792958,7.824528284887421,0.110336,0,1713047,1.63577,29.6903,26.7213,0.0,1.0,0,data\N16rv0.5rg2.0Z0.002
1,Giant,100,7.02729808968,single-single,1728689,100.54,1735035,72.4229,48688,28.1773,0.0681895,4,4,4,28.1773,72.4229,0.389066165536039,7.332789145703101,0.0825825,1,1728689,0.0,35.7127,32.1414,0.0,0.0,0,data\N16rv0.5rg2.0Z0.002
1,Giant,100,7.1825317704,single-single,1790588,70.8578,1790586,51.7626,1828725,19.1974,0.0076237,4,4,4,19.1974,51.7626,0.3708739514630254,7.487769959677462,0.03911445,0,1790588,0.341915,32.3059,29.0753,0.0,1.0,0,data\N16rv0.5rg2.0Z0.002
1,Giant,150,4.42016650944,single-single,1922654,173.76,1922652,127.38,2024699,46.4049,0.009968,4,4,4,46.4049,127.38,0.3643028732925106,4.719232404478248,0.0989795,0,1922654,0.0912983,34.9465,31.4518,0.0,1.0,1,data\N16rv0.5rg2.0Z0.002
1,Giant,50,10.4587045056,single-single,1691101,31.8722,11101,16.5561,914486,15.3218,0.128449,4,4,4,15.3218,16.5561,0.925447418172154,10.998429698409828,0.207967,0,1691101,0.406441,11.2522,7.17365,0.0,150.3511,0,data\N16rv0.5rg2.0Z0.02
1,Giant,50,7.730364882480001,single-single,1698035,23.5533,1698033,12.4038,2365688,11.1927,0.139111,4,4,4,11.1927,12.4038,0.9023605669230396,7.869066954628012,0.0469152,0,1698035,0.21729,14.4917,12.5518,0.0,3.783251,0,data\N16rv0.5rg2.0Z0.02
1,Giant,50,14.8400250048,single-single,2501835,23.9345,1247445,12.072,821835,11.867,0.02165395,4,4,4,11.867,12.072,0.9830185553346588,15.24275432111328,0.066668,0,2501835,0.0,23.2689,13.7681,0.0,1.0,1,data\N16rv0.5rg2.0Z0.02
1,Giant,100,3.8146392888,single-single,1680165,123.222,1899535,70.9984,1680163,52.4752,0.0294852,4,4,4,52.4752,70.9984,0.7391039798079957,4.034959534037158,0.1277805,1,1680165,0.0,60.3966,54.3569,0.0,0.0,0,data\N16rv0.5rg20.0Z0.002
1,Giant,100,4.68158989848,single-single,1708766,80.7889,1708764,51.2164,1736192,29.6775,0.1208635,4,4,4,29.6775,51.2164,0.5794530658148561,4.977904926042153,0.077126,1,1708766,0.0,34.191,30.7719,0.0,0.0,0,data\N16rv0.5rg20.0Z0.002
1,Giant,100,8.164835218319999,binary-single,1719424,99.3726,3745294,75.37790000000001,39421,24.0465,0.0838515,4,4,4,24.0465,75.37790000000001,0.3190126018368779,8.518538163771092,0.136414,0,1719424,0.283075,24.9881,22.4893,0.0,1.0,0,data\N16rv0.5rg20.0Z0.002
1,Giant,100,4.05708190872,single-single,1758324,108.728,1973597,60.0771,1758322,48.8096,0.103474,4,4,4,48.8096,60.0771,0.8124493359366548,4.316382051693735,0.088991,1,1758324,0.0,43.9606,39.5646,0.0,0.0,0,data\N16rv0.5rg20.0Z0.002
1,Giant,50,21.4817905944,single-single,2396141,17.0647,716141,11.7999,1384090,11.468,0.119715,4,4,4,11.468,11.7999,0.9718726429885,21.833857463244097,0.1716915,0,2396141,0.0846427,20.6461,10.771,0.0,1.0,0,data\N16rv0.5rg20.0Z0.002
1,Giant,50,8.01147661824,binary-single,1737571,38.6993,1654618,23.2362,1737570,15.4746,0.0362802,4,4,4,15.4746,23.2362,0.6659694786583005,8.419194129951688,0.06746,0,1737571,0.495253,12.2394,8.40992,0.0,200.1791,0,data\N16rv0.5rg20.0Z0.02
1,Giant,50,8.18969772624,single-single,1758360,59.2092,1758359,49.7372,1607821,9.51219,0.0843265,4,4,4,9.51219,49.7372,0.1912490047690662,8.436417784516216,0.050522,0,1758360,0.486205,23.556,21.2004,0.0,1.0,0,data\N16rv0.5rg20.0Z0.02
1,Giant,50,14.433698568,single-single,2684745,23.9284,1004745,12.1224,1084596,11.811,0.288751,4,4,4,11.811,12.1224,0.9743120174222926,14.796845960104555,0.2858425,0,2684745,1.6116,23.8238,5.53961,0.0,281.391,0,data\N16rv0.5rg20.0Z0.02
1,Giant,50,7.35140400936,single-single,1684487,78.0073,1814370,43.1668,1684485,34.8909,0.03560865,4,4,4,34.8909,43.1668,0.8082809010628539,7.781925915898385,0.073852,0,1684487,0.0846288,13.4474,10.4006,0.0,87.37051,0,data\N16rv0.5rg8.0Z0.02
1,Giant,50,12.929211696,single-single,1695244,23.2735,2269430,12.5287,15243,10.7532,0.42309,4,4,4,10.7532,12.5287,0.8582853767749247,13.120380544255196,0.147269,0,1695244,0.376129,26.2748,7.41608,0.0,261.6451,0,data\N16rv0.5rg8.0Z0.02
1,Giant,50,4.2666575491200005,single-single,1709665,83.8778,1709663,44.6134,1771101,39.3198,0.01241745,4,4,4,39.3198,44.6134,0.8813450667288304,4.662329704742728,0.3325675,1,1709665,0.0,14.3493,12.2338,0.0,0.0,0,data\N16rv0.5rg8.0Z0.02
1,Giant,50,7.0075389852,single-single,1752653,62.6516,1752652,45.4269,1586231,17.2491,0.078031,4,4,4,17.2491,45.4269,0.3797111403155399,7.34904060974263,0.110913,0,1752653,0.893195,19.3887,17.4498,0.0,1.0,0,data\N16rv0.5rg8.0Z0.02
1,Giant,50,11.488849043999998,single-single,1789593,30.4426,1789592,17.4819,873753,12.972,0.1047575,4,4,4,12.972,17.4819,0.7420246083091655,11.805284853731392,0.068525,0,1789593,0.122353,12.4887,8.7776,0.0,35.2091,0,data\N16rv0.5rg8.0Z0.02
1,Giant,50,6.55607794224,binary-binary,1832092,22.711,1636716,14.4095,1832091,9.70322,0.0791055,4,4,8,9.70322,14.4095,0.6733904715638989,6.6600127054830205,0.18423,0,1832092,3.28499,15.9184,14.1576,0.0,1.0,0,data\N16rv0.5rg8.0Z0.02
1,Giant,50,10.6440013896,single-single,1897319,26.4346,1897318,15.5752,856791,10.8818,0.091693,4,4,4,10.8818,15.5752,0.6986619754481483,10.820286140547202,0.076231,0,1897319,0.131744,13.9097,11.3036,0.0,24.25461,0,data\N16rv0.5rg8.0Z0.02
1,Giant,50,6.234793488239999,single-single,2103605,29.5396,423604,20.0964,2330085,9.47215,0.173719,4,4,7,9.47215,20.0964,0.4713356621086363,6.504368055141866,0.298578,0,2103605,0.489501,26.1886,8.13965,0.0,311.1841,0,data\N16rv0.5rg8.0Z0.02
1,Giant,100,3.896085284,single-single,1715016,101.91,1795919,58.3545,1715014,43.8756,0.0984899,4,4,4,43.8756,58.3545,0.7518803177132869,4.131457878540299,0.0844385,1,1715016,0.0,55.1758,49.6582,0.0,0.0,0,data\N16rv1.0rg2.0Z0.002
1,Giant,50,6.5078433406,single-single,1811068,45.5274,522599,27.5865,1811067,18.0068,0.249525,4,4,4,18.0068,27.5865,0.6527395646421256,6.62888805790282,0.228421,0,1811068,0.182594,59.4321,24.5889,0.0,1.0,0,data\N16rv1.0rg2.0Z0.002
1,Giant,50,15.2211501372,single-single,1809742,22.9818,129742,11.556,867035,11.4307,0.545756,4,4,4,11.4307,11.556,0.9891571478020076,15.535917789758836,0.538386,0,1809742,0.0,23.1572,14.4822,0.0,1.0,0,data\N16rv1.0rg20.0Z0.02
1,Giant,100,3.6916746454,single-single,1694551,108.203,1694549,61.5075,1855352,47.4106,0.160302,4,4,7,47.4106,61.5075,0.7708100638133561,3.794463115544222,0.105355,0,1694551,0.158666,94.7855,40.5,0.0,1.0,1,data\N16rv1.0rg8.0Z0.002
1,Giant,100,3.4206698176,single-single,1695580,165.883,1695578,85.3934,1834336,80.8153,0.188175,4,4,4,80.8153,85.3934,0.946388128356524,3.632555720432823,0.0684691,1,1695580,0.0,66.7495,60.0746,0.0,0.0,1,data\N16rv1.0rg8.0Z0.002
1,Giant,50,4.664094904,single-single,1735710,57.5218,1257427,32.628,55710,24.9327,0.278085,4,4,4,24.9327,32.628,0.7641504229496139,4.978050998802063,0.375217,0,1735710,0.0810346,18.7183,16.8464,0.0,1.0,0,data\N16rv1.0rg8.0Z0.02
1,Giant,50,3.9022894008,single-single,1833939,64.5359,153939,38.9778,497384,25.6412,0.0798694,4,4,4,25.6412,38.9778,0.6578411300791732,4.16759164087458,0.148075,0,1833939,0.183063,23.2605,20.9345,0.0,1.0,0,data\N16rv1.0rg8.0Z0.02
1,Giant,50,4.48564120054,single-single,2270245,74.0625,1037269,40.0001,590245,34.2319,2.07052,4,4,4,34.2319,40.0001,0.8557953605115988,4.699583691223403,0.729508,0,2270245,0.0,43.2612,38.9351,0.0,1.0,1,data\N16rv2.0rg2.0Z0.002
1,Giant,50,11.0824558614,single-single,240212,28.6248,113147,15.1022,30212,13.5292,0.1655425,4,4,4,13.5292,15.1022,0.8958429897630809,11.483910816332278,0.0835585,0,240212,8.32514,11.2436,7.04235,0.0,93.53281,0,data\N2.0rv0.5rg2.0Z0.02
1,Giant,50,15.473362012,single-single,252142,23.0542,42142,12.1145,129742,10.944,0.060978,4,4,4,10.944,12.1145,0.903380246811672,15.848506587073125,0.15543,0,252142,0.217454,22.7002,14.2549,0.0,1.0,1,data\N2.0rv0.5rg2.0Z0.02
