q,type,pm,time_x,collision_type,idm,mm,id1,m1,id2,m2,r_x,typem,type1,type2,smaller_mass,larger_mass,mass_ratio,time_y,r_y,binary,ID,zams_m,m_progenitor,bh_mass,bh_spin,birth_kick,bbh_merger,model
0.01,MS,100,3.10117110528,binary-single,1689424,91.6353,9424,91.5253,348419,0.109969,0.01827415,1,1,0,0.109969,91.5253,0.0012015147724181,6.718163267338267,0.0806425,0,1689424,0.160949,31.881,28.6929,0.0,1.0,0,data\N16rv0.5rg2.0Z0.002
0.01,Giant,,7.69677263592,binary-single,1690159,339.886,3387872,340.8549,281370,0.336668,0.0216335,4,1,0,0.336668,340.8549,0.0009877164740773,8.007136501342023,0.0177696,1,1690159,0.0,33.6545,30.289,0.0,0.0,0,data\N16rv0.5rg2.0Z0.002
0.01,MS,150,6.892309973040001,single-single,1692519,116.232,1692518,116.087,1092822,0.145747,0.0394856,1,1,0,0.145747,116.087,0.0012554980316486,10.572855108972384,0.0370406,0,1692519,0.127146,36.3878,32.749,0.0,1.0,1,data\N16rv0.5rg2.0Z0.002
0.01,MS,100,10.072809372,binary-single,1699097,83.2637,1744929,83.1649,19096,0.0987361,0.0601145,1,1,0,0.0987361,83.1649,0.0011872328350061,13.762736068987865,0.071137,1,1699097,0.0,28.7768,25.8991,0.0,0.0,0,data\N16rv0.5rg2.0Z0.002
0.01,MS,100,7.48346452368,binary-single,1706983,94.8166,1706982,94.0114,359722,0.805201,0.05657,1,1,1,0.805201,94.0114,0.0085649293596308,11.235989262636863,0.1711955,0,1706983,0.106141,33.0008,29.7007,0.0,1.0,0,data\N16rv0.5rg2.0Z0.002
0.1,MS,50,4.02265825848,single-single,1707419,26.005,692241,25.6419,27419,0.363101,0.198374,1,1,0,0.363101,25.6419,0.014160456128446,11.975629026123183,1.405015,0,1707419,0.217993,25.7444,8.60303,0.0,247.8441,0,data\N16rv0.5rg2.0Z0.002
0.01,Giant,,3.37818773568,binary-single,1713342,209.066,4157728,209.4062,384204,0.1295,0.01250355,4,1,0,0.1295,209.4062,0.0006184153095753,3.6671563980962234,0.069671,1,1713342,0.0,36.5306,32.8776,0.0,0.0,0,data\N16rv0.5rg2.0Z0.002
0.01,MS,100,8.16799278336,binary-single,1714509,99.2751,1714508,99.0462,289863,0.228995,0.01713825,1,1,0,0.228995,99.0462,0.002312001873873,11.963845232873718,0.060021,1,1714509,0.0,34.1769,30.7592,0.0,0.0,0,data\N16rv0.5rg2.0Z0.002
0.01,Giant,,7.41268022952,binary-single,1715984,116.594,3467296,150.05329999999998,666112,0.255094,0.00594215,4,1,0,0.255094,150.05329999999998,0.0017000225919723,7.623690597572673,0.0647345,1,1715984,0.0,27.4263,24.6837,0.0,0.0,1,data\N16rv0.5rg2.0Z0.002
0.01,Giant,150,10.2232580592,binary-single,1716984,132.648,2481517,132.7015,186724,0.362655,0.0766055,4,1,0,0.362655,132.7015,0.0027328628538486,10.564493125189731,0.083377,1,1716984,0.0,27.8173,25.0356,0.0,0.0,0,data\N16rv0.5rg2.0Z0.002
0.01,Giant,150,9.3190623336,binary-single,1720365,148.749,3524188,148.86180000000002,40362,0.123046,0.0755885,4,1,0,0.123046,148.86180000000002,0.0008265787461927,9.645301874476925,0.055122,0,1720365,0.0,31.4614,28.3152,0.0,1.0,1,data\N16rv0.5rg2.0Z0.002
0.01,MS,150,4.223389178880001,binary-binary,1720385,119.871,1720384,119.761,383667,0.109321,0.0069084,1,1,0,0.109321,119.761,0.0009128263792052,7.901724046382927,0.050381,1,1720385,0.0,36.3136,32.6822,0.0,0.0,0,data\N16rv0.5rg2.0Z0.002
0.01,MS,100,9.6707284008,single-single,1721161,54.9966,1721160,54.9007,568721,0.0959633,0.1299055,1,1,0,0.0959633,54.9007,0.0017479431045505,14.301444635452746,0.0759685,0,1721161,0.574117,20.3798,18.3418,0.0,1.0,0,data\N16rv0.5rg2.0Z0.002
